id,이름,세대,정당명,소속 위원회 목록,겸임 위원회 목록,선수,성별,당선방법,지역,대학교,전직
0,강기윤,BABM,국민의힘,보건복지위원회,N/A,2,남,지역구,영남,창원대학교,기업인
1,강대식,BABM,국민의힘,국방위원회,N/A,1,남,지역구,영남,영남대학교,직업정치인
2,강득구,BABM,더불어민주당,교육위원회,N/A,1,남,지역구,수도권,성균관대학교,직업정치인
3,강민국,X,국민의힘,정무위원회,N/A,1,남,지역구,영남,경남대학교,교육자
4,강민정,BABM,더불어민주당,교육위원회,N/A,1,여,비례대표,비례대표,서울대학교,교육자
5,강병원,X,더불어민주당,보건복지위원회,N/A,2,남,지역구,수도권,서울대학교,기업인
6,강선우,X,더불어민주당,보건복지위원회,여성가족위원회,1,여,지역구,수도권,이화여자대학교,교육자
7,강은미,X,정의당,환경노동위원회,N/A,1,여,비례대표,비례대표,한국방송통신대학교,사회운동
8,강준현,BABM,더불어민주당,국토교통위원회,N/A,1,남,지역구,충청강원,충남대학교,직업정치인
9,강훈식,X,더불어민주당,산업통상자원중소벤처기업위원회,N/A,2,남,지역구,충청강원,건국대학교,기업인
10,고민정,X,더불어민주당,보건복지위원회,N/A,1,여,지역구,수도권,경희대학교,방송인
11,고영인,BABM,더불어민주당,보건복지위원회,N/A,1,남,지역구,수도권,고려대학교,사회운동
12,고용진,BABM,더불어민주당,기획재정위원회,N/A,2,남,지역구,수도권,서울대학교,직업정치인
13,구자근,X,국민의힘,산업통상자원중소벤처기업위원회,N/A,1,남,지역구,영남,동국대학교,직업정치인
14,권명호,BABM,국민의힘,산업통상자원중소벤처기업위원회,N/A,1,남,지역구,영남,울산대학교,직업정치인
15,권성동,BABM,국민의힘,외교통일위원회,정보위원회,4,남,지역구,충청강원,중앙대학교,법조인
16,권영세,BABM,국민의힘,환경노동위원회,N/A,4,남,지역구,수도권,서울대학교,법조인
17,권은희,X,국민의당,정무위원회,N/A,3,여,비례대표,비례대표,전남대학교,법조인
18,권인숙,BABM,더불어민주당,교육위원회,여성가족위원회,1,여,비례대표,비례대표,서울대학교,교육자
19,권칠승,X,더불어민주당,농림축산식품해양수산위원회,N/A,2,남,지역구,수도권,고려대학교,직업정치인
20,기동민,X,더불어민주당,국방위원회,N/A,2,남,지역구,수도권,성균관대학교,직업정치인
21,김경만,BABM,더불어민주당,산업통상자원중소벤처기업위원회,N/A,1,남,비례대표,비례대표,한국외국어대학교,기업인
22,김경협,BABM,더불어민주당,외교통일위원회,정보위원회,3,남,지역구,수도권,성균관대학교,사회운동
23,김교흥,BABM,더불어민주당,국토교통위원회,N/A,2,남,지역구,수도권,인천대학교,사회운동
24,김기현,BABM,국민의힘,외교통일위원회,N/A,4,남,지역구,영남,서울대학교,법조인
25,김남국,M,더불어민주당,법제사법위원회,N/A,1,남,지역구,수도권,중앙대학교,법조인
26,김도읍,BABM,국민의힘,행정안전위원회,N/A,3,남,지역구,영남,동아대학교,법조인
27,김두관,BABM,더불어민주당,기획재정위원회,N/A,2,남,지역구,영남,경북전문대학교,직업정치인
28,김미애,X,국민의힘,보건복지위원회,보건복지위원회,1,여,지역구,영남,동아대학교,법조인
29,김민기,X,더불어민주당,국방위원회,정보위원회,3,남,지역구,수도권,고려대학교,기업인
30,김민석,BABM,더불어민주당,보건복지위원회,N/A,3,남,지역구,수도권,서울대학교,사회운동
31,김민철,X,더불어민주당,행정안전위원회,N/A,1,남,지역구,수도권,광주대학교,공무원
32,김병기,BABM,더불어민주당,국방위원회,정보위원회,2,남,지역구,수도권,경희대학교,공무원
33,김병주,BABM,더불어민주당,국방위원회,N/A,1,남,비례대표,비례대표,육군사관학교,기타
34,김상훈,BABM,국민의힘,국토교통위원회,N/A,3,남,지역구,영남,영남대학교,공무원
35,김상희,BABM,더불어민주당,과학기술정보방송통신위원회,N/A,4,여,지역구,수도권,이화여자대학교,의료인
36,김석기,BABM,국민의힘,외교통일위원회,N/A,2,남,지역구,영남,영남대학교,공무원
37,김선교,BABM,국민의힘,농림축산식품해양수산위원회,N/A,1,남,지역구,수도권,한국방송통신대학교,공무원
38,김성원,X,국민의힘,환경노동위원회,N/A,2,남,지역구,수도권,고려대학교(세종),직업정치인
39,김성주,BABM,더불어민주당,보건복지위원회,N/A,2,남,지역구,호남제주,서울대학교,기업인
40,김성환,X,더불어민주당,산업통상자원중소벤처기업위원회,N/A,2,남,지역구,수도권,연세대학교,직업정치인
41,김수흥,BABM,더불어민주당,기획재정위원회,N/A,1,남,지역구,호남제주,한국외국어대학교,공무원
42,김승남,X,더불어민주당,농림축산식품해양수산위원회,N/A,2,남,지역구,호남제주,전남대학교,직업정치인
43,김승수,X,국민의힘,문화체육관광위원회,N/A,1,남,지역구,영남,영남대학교,공무원
44,김승원,X,더불어민주당,특별위원회문화체육관광위원회,N/A,1,남,지역구,수도권,서울대학교,법조인
45,김영배,X,더불어민주당,법제사법위원회,N/A,1,남,지역구,수도권,고려대학교,직업정치인
46,김영식,BABM,국민의힘,과학기술정보방송통신위원회,N/A,1,남,지역구,영남,영남대학교,교육자
47,김영주,BABM,더불어민주당,외교통일위원회,N/A,4,여,지역구,수도권,한국방송통신대학교,사회운동
48,김영진,X,더불어민주당,기획재정위원회,N/A,2,남,지역구,수도권,중앙대학교,직업정치인
49,김영호,X,더불어민주당,외교통일위원회,N/A,2,남,지역구,수도권,베이징대학,직업정치인
50,김예지,M,국민의힘,문화체육관광위원회,N/A,1,여,비례대표,비례대표,숙명여자대학교,기타
51,김용민,X,더불어민주당,법제사법위원회,N/A,1,남,지역구,수도권,한양대학교,법조인
52,김용판,BABM,국민의힘,행정안전위원회,N/A,1,남,지역구,영남,영남대학교,공무원
53,김웅,X,국민의힘,환경노동위원회,N/A,1,남,지역구,수도권,서울대학교,법조인
54,김원이,X,더불어민주당,보건복지위원회,N/A,1,남,지역구,호남제주,성균관대학교,직업정치인
55,김윤덕,X,더불어민주당,국토교통위원회,N/A,2,남,지역구,호남제주,전북대학교,사회운동
56,김의겸,BABM,더불어민주당,문화체육관광위원회,N/A,1,남,비례대표,비례대표,고려대학교,방송인
57,김정재,X,국민의힘,산업통상자원중소벤처기업위원회,여성가족위원회,2,여,지역구,영남,이화여자대학교,직업정치인
58,김정호,BABM,더불어민주당,산업통상자원중소벤처기업위원회,N/A,2,남,지역구,영남,부산대학교,사회운동
59,김종민,BABM,더불어민주당,법제사법위원회,N/A,2,남,지역구,충청강원,서울대학교,방송인
60,김주영,BABM,더불어민주당,기획재정위원회,N/A,1,남,지역구,수도권,원광대학교,사회운동
61,김진표,IDST,더불어민주당,국방위원회,N/A,5,남,지역구,수도권,서울대학교,기업인
62,김철민,BABM,더불어민주당,교육위원회,N/A,2,남,지역구,수도권,한밭대학교,직업정치인
63,김태년,X,더불어민주당,기획재정위원회,N/A,4,남,지역구,수도권,경희대학교(수원),사회운동
64,김태호,BABM,국민의힘,외교통일위원회,N/A,3,남,지역구,영남,서울대학교,직업정치인
65,김학용,BABM,국민의힘,국토교통위원회,N/A,4,남,지역구,수도권,중앙대학교,직업정치인
66,김한정,BABM,더불어민주당,정무위원회,N/A,2,남,지역구,수도권,서울대학교,교육자
67,김형동,X,국민의힘,법제사법위원회,N/A,1,남,지역구,영남,서울대학교,법조인
68,김홍걸,BABM,더불어민주당,외교통일위원회,N/A,1,남,비례대표,비례대표,고려대학교,직업정치인
69,김회재,BABM,더불어민주당,국토교통위원회,N/A,1,남,지역구,호남제주,연세대학교,법조인
70,김희곤,BABM,국민의힘,정무위원회,N/A,1,남,지역구,영남,부산대학교,직업정치인
71,김희국,BABM,국민의힘,국토교통위원회,N/A,2,남,지역구,영남,경북대학교,공무원
72,남인순,BABM,더불어민주당,보건복지위원회,N/A,3,여,지역구,수도권,세종대학교,사회운동
73,노용호,X,국민의힘,기획재정위원회,N/A,1,남,비례대표,비례대표,관동대학교,직업정치인
74,노웅래,BABM,더불어민주당,환경노동위원회,정보위원회,4,남,지역구,수도권,중앙대학교,방송인
75,도종환,BABM,더불어민주당,교육위원회,N/A,3,남,지역구,충청강원,충북대학교,기타
76,류성걸,BABM,국민의힘,기획재정위원회,N/A,2,남,지역구,영남,경북대학교,기업인
77,류호정,M,정의당,산업통상자원중소벤처기업위원회,N/A,1,여,비례대표,비례대표,이화여자대학교,사회운동
78,맹성규,BABM,더불어민주당,농림축산식품해양수산위원회,N/A,2,남,지역구,수도권,고려대학교,공무원
79,문정복,X,더불어민주당,국토교통위원회,N/A,1,여,지역구,수도권,성결대학교,직업정치인
80,문진석,BABM,더불어민주당,국토교통위원회,N/A,1,남,지역구,충청강원,중앙대학교,교육자
81,민병덕,X,더불어민주당,정무위원회,N/A,1,남,지역구,수도권,서울대학교,법조인
82,민형배,BABM,더불어민주당,법제사법위원회,N/A,1,남,지역구,호남제주,전남대학교,방송인
83,민홍철,BABM,더불어민주당,국방위원회,N/A,3,남,지역구,영남,부산대학교,법조인
84,박광온,BABM,더불어민주당,법제사법위원회,N/A,3,남,지역구,수도권,고려대학교,방송인
85,박대수,BABM,국민의힘,환경노동위원회,N/A,1,남,비례대표,비례대표,한국항공대학교,사회운동
86,박대출,BABM,국민의힘,환경노동위원회,N/A,3,남,지역구,영남,연세대학교,방송인
87,박덕흠,BABM,국민의힘,농림축산식품해양수산위원회,N/A,3,남,지역구,충청강원,연세대학교,기업인
88,박범계,BABM,더불어민주당,환경노동위원회,N/A,3,남,지역구,충청강원,연세대학교,법조인
89,박병석,BABM,더불어민주당,국회의장,N/A,6,남,지역구,충청강원,성균관대학교,방송인
90,박상혁,X,더불어민주당,국토교통위원회,N/A,1,남,지역구,수도권,한양대학교,법조인
91,박성민,BABM,국민의힘,국토교통위원회,N/A,1,남,지역구,영남,울산대학교,직업정치인
92,박성준,X,더불어민주당,기획재정위원회,N/A,1,남,지역구,수도권,한국외국어대학교,방송인
93,박성중,BABM,국민의힘,과학기술정보방송통신위원회,N/A,2,남,지역구,수도권,성균관대학교,공무원
94,박수영,BABM,국민의힘,정무위원회,N/A,1,남,지역구,영남,서울대학교,공무원
95,박영순,BABM,더불어민주당,국토교통위원회,N/A,1,남,지역구,충청강원,충남대학교,공무원
96,박완주,X,더불어민주당,행정안전위원회,N/A,3,남,지역구,충청강원,성균관대학교,직업정치인
97,박용진,X,더불어민주당,정무위원회,N/A,2,남,지역구,수도권,성균관대학교,사회운동
98,박재호,BABM,더불어민주당,행정안전위원회,N/A,2,남,지역구,영남,부산외국어대학교,직업정치인
99,박정,BABM,더불어민주당,문화체육관광위원회,N/A,2,남,지역구,수도권,서울대학교,교육자
100,박주민,X,더불어민주당,법제사법위원회,N/A,2,남,지역구,수도권,서울대학교,법조인
101,박진,BABM,국민의힘,기획재정위원회,N/A,4,남,지역구,수도권,서울대학교,공무원
102,박찬대,X,더불어민주당,교육위원회,N/A,2,남,지역구,수도권,인하대학교,기업인
103,박형수,X,국민의힘,법제사법위원회,N/A,1,남,지역구,영남,서울대학교,법조인
104,박홍근,X,더불어민주당,외교통일위원회,정보위원회,3,남,지역구,수도권,경희대학교,직업정치인
105,배준영,X,국민의힘,기획재정위원회,N/A,1,남,지역구,수도권,연세대학교,교육자
106,배진교,X,정의당,정무위원회,N/A,1,남,비례대표,비례대표,한국방송통신대학교,사회운동
107,배현진,M,국민의힘,문화체육관광위원회,N/A,1,여,지역구,수도권,숙명여자대학교,방송인
108,백종헌,BABM,국민의힘,보건복지위원회,N/A,1,남,지역구,영남,경성대학교,직업정치인
109,백혜련,X,더불어민주당,행정안전위원회,N/A,2,여,지역구,수도권,고려대학교,법조인
110,변재일,IDST,더불어민주당,과학기술정보방송통신위원회,N/A,5,남,지역구,충청강원,연세대학교,공무원
111,서동용,BABM,더불어민주당,교육위원회,N/A,1,남,지역구,호남제주,연세대학교,법조인
112,서범수,BABM,국민의힘,행정안전위원회,N/A,1,남,지역구,영남,서울대학교,공무원
113,서병수,BABM,국민의힘,기획재정위원회,N/A,5,남,지역구,영남,서강대학교,기업인
114,서삼석,BABM,더불어민주당,농림축산식품해양수산위원회,N/A,2,남,지역구,호남제주,조선대학교,직업정치인
115,서영교,BABM,더불어민주당,행정안전위원회,N/A,3,여,지역구,수도권,이화여자대학교,직업정치인
116,서영석,BABM,더불어민주당,보건복지위원회,N/A,1,남,지역구,수도권,성균관대학교,의료인
117,서일준,X,국민의힘,기획재정위원회,N/A,1,남,지역구,영남,연세대학교,공무원
118,서정숙,BABM,국민의힘,보건복지위원회,여성가족위원회,1,여,비례대표,비례대표,이화여자대학교,의료인
119,설훈,BABM,더불어민주당,국방위원회,N/A,5,남,지역구,수도권,고려대학교,사회운동
120,성일종,BABM,국민의힘,국방위원회,N/A,2,남,지역구,충청강원,고려대학교,기업인
121,소병철,BABM,더불어민주당,정무위원회,N/A,1,남,지역구,호남제주,서울대학교,법조인
122,소병훈,BABM,더불어민주당,국토교통위원회,N/A,2,남,지역구,수도권,성균관대학교,기타
123,송갑석,X,더불어민주당,산업통상자원중소벤처기업위원회,N/A,2,남,지역구,호남제주,전남대학교,사회운동
124,송기헌,BABM,더불어민주당,법제사법위원회,N/A,2,남,지역구,충청강원,서울대학교,법조인
125,송석준,BABM,국민의힘,국토교통위원회,N/A,2,남,지역구,수도권,서울대학교,공무원
126,송언석,BABM,국민의힘,국토교통위원회,N/A,2,남,지역구,영남,서울대학교,공무원
127,송옥주,X,더불어민주당,환경노동위원회,여성가족위원회,2,여,지역구,수도권,연세대학교,사회운동
128,송재호,BABM,더불어민주당,정무위원회,N/A,1,남,지역구,호남제주,연세대학교,교육자
129,신동근,BABM,더불어민주당,국토교통위원회,N/A,2,남,지역구,수도권,경희대학교,의료인
130,신영대,X,더불어민주당,산업통상자원중소벤처기업위원회,N/A,1,남,지역구,호남제주,전북대학교,직업정치인
131,신원식,BABM,국민의힘,국방위원회,정보위원회,1,남,비례대표,비례대표,육군사관학교,기타
132,신정훈,BABM,더불어민주당,산업통상자원중소벤처기업위원회,N/A,2,남,지역구,호남제주,고려대학교,사회운동
133,신현영,M,더불어민주당,보건복지위원회,N/A,1,여,비례대표,비례대표,가톨릭대학교,의료인
134,심상정,BABM,정의당,국토교통위원회,N/A,4,여,지역구,수도권,서울대학교,직업정치인
135,안규백,BABM,더불어민주당,국방위원회,N/A,4,남,지역구,수도권,성균관대학교,직업정치인
136,안민석,X,더불어민주당,교육위원회,N/A,5,남,지역구,수도권,서울대학교,교육자
137,안병길,BABM,국민의힘,농림축산식품해양수산위원회,N/A,1,남,지역구,영남,부산대학교,방송인
138,안호영,X,더불어민주당,환경노동위원회,N/A,2,남,지역구,호남제주,연세대학교,법조인
139,양경숙,BABM,더불어민주당,기획재정위원회,N/A,1,여,비례대표,비례대표,숭실대학교,직업정치인
140,양금희,BABM,국민의힘,산업통상자원중소벤처기업위원회,여성가족위원회,1,여,지역구,영남,경북대학교,교육자
141,양기대,BABM,더불어민주당,행정안전위원회,N/A,1,남,지역구,수도권,서울대학교,방송인
142,양이원영,X,더불어민주당,산업통상자원중소벤처기업위원회,여성가족위원회,1,여,비례대표,비례대표,서강대학교,사회운동
143,양정숙,X,더불어민주당,과학기술정보방송통신위원회,N/A,1,여,비례대표,비례대표,이화여자대학교,법조인
144,양향자,X,더불어민주당,법제사법위원회,N/A,1,여,지역구,호남제주,한국디지털대학교,기업인
